"cid_hex","glyph","uname"
"u/2dbb","ⶻ","ethiopic syllable cchaa"
"u/2dbc","ⶼ","ethiopic syllable cchee"
"u/2dbd","ⶽ","ethiopic syllable cche"
"u/2dbe","ⶾ","ethiopic syllable ccho"
"u/2dc0","ⷀ","ethiopic syllable qya"
"u/2dc1","ⷁ","ethiopic syllable qyu"
"u/2dc2","ⷂ","ethiopic syllable qyi"
"u/2dc3","ⷃ","ethiopic syllable qyaa"
"u/2dc4","ⷄ","ethiopic syllable qyee"
"u/2dc5","ⷅ","ethiopic syllable qye"
"u/2dc6","ⷆ","ethiopic syllable qyo"
"u/2dc8","ⷈ","ethiopic syllable kya"
"u/2dc9","ⷉ","ethiopic syllable kyu"
"u/2dca","ⷊ","ethiopic syllable kyi"
"u/2dcb","ⷋ","ethiopic syllable kyaa"
"u/2dcc","ⷌ","ethiopic syllable kyee"
"u/2dcd","ⷍ","ethiopic syllable kye"
"u/2dce","ⷎ","ethiopic syllable kyo"
"u/2dd0","ⷐ","ethiopic syllable xya"
"u/2dd1","ⷑ","ethiopic syllable xyu"
"u/2dd2","ⷒ","ethiopic syllable xyi"
"u/2dd3","ⷓ","ethiopic syllable xyaa"
"u/2dd4","ⷔ","ethiopic syllable xyee"
"u/2dd5","ⷕ","ethiopic syllable xye"
"u/2dd6","ⷖ","ethiopic syllable xyo"
"u/2dd8","ⷘ","ethiopic syllable gya"
"u/2dd9","ⷙ","ethiopic syllable gyu"
"u/2dda","ⷚ","ethiopic syllable gyi"
"u/2ddb","ⷛ","ethiopic syllable gyaa"
"u/2ddc","ⷜ","ethiopic syllable gyee"
"u/2ddd","ⷝ","ethiopic syllable gye"
"u/2dde","ⷞ","ethiopic syllable gyo"
"u/2de0","ⷠ","combining cyrillic letter be"
"u/2de1","ⷡ","combining cyrillic letter ve"
"u/2de2","ⷢ","combining cyrillic letter ghe"
"u/2de3","ⷣ","combining cyrillic letter de"
"u/2de4","ⷤ","combining cyrillic letter zhe"
"u/2de5","ⷥ","combining cyrillic letter ze"
"u/2de6","ⷦ","combining cyrillic letter ka"
"u/2de7","ⷧ","combining cyrillic letter el"
"u/2de8","ⷨ","combining cyrillic letter em"
"u/2de9","ⷩ","combining cyrillic letter en"
"u/2dea","ⷪ","combining cyrillic letter o"
"u/2deb","ⷫ","combining cyrillic letter pe"
"u/2dec","ⷬ","combining cyrillic letter er"
"u/2ded","ⷭ","combining cyrillic letter es"
"u/2dee","ⷮ","combining cyrillic letter te"
"u/2def","ⷯ","combining cyrillic letter ha"
"u/2df0","ⷰ","combining cyrillic letter tse"
"u/2df1","ⷱ","combining cyrillic letter che"
"u/2df2","ⷲ","combining cyrillic letter sha"
"u/2df3","ⷳ","combining cyrillic letter shcha"
"u/2df4","ⷴ","combining cyrillic letter fita"
"u/2df5","ⷵ","combining cyrillic letter es-te"
"u/2df6","ⷶ","combining cyrillic letter a"
"u/2df7","ⷷ","combining cyrillic letter ie"
"u/2df8","ⷸ","combining cyrillic letter djerv"
"u/2df9","ⷹ","combining cyrillic letter monograph uk"
"u/2dfa","ⷺ","combining cyrillic letter yat"
"u/2dfb","ⷻ","combining cyrillic letter yu"
"u/2dfc","ⷼ","combining cyrillic letter iotified a"
"u/2dfd","ⷽ","combining cyrillic letter little yus"
"u/2dfe","ⷾ","combining cyrillic letter big yus"
"u/2dff","ⷿ","combining cyrillic letter iotified big yus"
"u/2e00","⸀","right angle substitution marker"
"u/2e01","⸁","right angle dotted substitution marker"
"u/2e02","⸂","left substitution bracket"
"u/2e03","⸃","right substitution bracket"
"u/2e04","⸄","left dotted substitution bracket"
"u/2e05","⸅","right dotted substitution bracket"
"u/2e06","⸆","raised interpolation marker"
"u/2e07","⸇","raised dotted interpolation marker"
"u/2e08","⸈","dotted transposition marker"
"u/2e09","⸉","left transposition bracket"
"u/2e0a","⸊","right transposition bracket"
"u/2e0b","⸋","raised square"
"u/2e0c","⸌","left raised omission bracket"
"u/2e0d","⸍","right raised omission bracket"
"u/2e0e","⸎","editorial coronis"
"u/2e0f","⸏","paragraphos"
"u/2e10","⸐","forked paragraphos"
"u/2e11","⸑","reversed forked paragraphos"
"u/2e12","⸒","hypodiastole"
"u/2e13","⸓","dotted obelos"
"u/2e14","⸔","downwards ancora"
"u/2e15","⸕","upwards ancora"
"u/2e16","⸖","dotted right-pointing angle"
"u/2e17","⸗","double oblique hyphen"
"u/2e18","⸘","inverted interrobang"
"u/2e19","⸙","palm branch"
"u/2e1a","⸚","hyphen with diaeresis"
"u/2e1b","⸛","tilde with ring above"
"u/2e1c","⸜","left low paraphrase bracket"
"u/2e1d","⸝","right low paraphrase bracket"
"u/2e1e","⸞","tilde with dot above"
"u/2e1f","⸟","tilde with dot below"
"u/2e20","⸠","left vertical bar with quill"
"u/2e21","⸡","right vertical bar with quill"
"u/2e22","⸢","top left half bracket"
"u/2e23","⸣","top right half bracket"
"u/2e24","⸤","bottom left half bracket"
"u/2e25","⸥","bottom right half bracket"
"u/2e26","⸦","left sideways u bracket"
"u/2e27","⸧","right sideways u bracket"
"u/2e28","⸨","left double parenthesis"
"u/2e29","⸩","right double parenthesis"
"u/2e2a","⸪","two dots over one dot punctuation"
"u/2e2b","⸫","one dot over two dots punctuation"
"u/2e2c","⸬","squared four dot punctuation"
"u/2e2d","⸭","five dot mark"
"u/2e2e","⸮","reversed question mark"
"u/2e2f","ⸯ","vertical tilde"
"u/2e30","⸰","ring point"
"u/2e31","⸱","word separator middle dot"
"u/2e32","⸲","turned comma"
"u/2e33","⸳","raised dot"
"u/2e34","⸴","raised comma"
"u/2e35","⸵","turned semicolon"
"u/2e36","⸶","dagger with left guard"
"u/2e37","⸷","dagger with right guard"
"u/2e38","⸸","turned dagger"
"u/2e39","⸹","top half section sign"
"u/2e3a","⸺","two-em dash"
"u/2e3b","⸻","three-em dash"
"u/2e3c","⸼","stenographic full stop"
"u/2e3d","⸽","vertical six dots"
"u/2e3e","⸾","wiggly vertical line"
"u/2e3f","⸿","capitulum"
"u/2e40","⹀","double hyphen"
"u/2e41","⹁","reversed comma"
"u/2e42","⹂","double low-reversed-9 quotation mark"
"u/2e80","⺀","cjk radical repeat"
"u/2e81","⺁","cjk radical cliff"
"u/2e82","⺂","cjk radical second one"
"u/2e83","⺃","cjk radical second two"
"u/2e84","⺄","cjk radical second three"
"u/2e85","⺅","cjk radical person"
"u/2e86","⺆","cjk radical box"
"u/2e87","⺇","cjk radical table"
"u/2e88","⺈","cjk radical knife one"
"u/2e89","⺉","cjk radical knife two"
"u/2e8a","⺊","cjk radical divination"
"u/2e8b","⺋","cjk radical seal"
"u/2e8c","⺌","cjk radical small one"
"u/2e8d","⺍","cjk radical small two"
"u/2e8e","⺎","cjk radical lame one"
"u/2e8f","⺏","cjk radical lame two"
"u/2e90","⺐","cjk radical lame three"
"u/2e91","⺑","cjk radical lame four"
"u/2e92","⺒","cjk radical snake"
"u/2e93","⺓","cjk radical thread"
"u/2e94","⺔","cjk radical snout one"
"u/2e95","⺕","cjk radical snout two"
"u/2e96","⺖","cjk radical heart one"
"u/2e97","⺗","cjk radical heart two"
"u/2e98","⺘","cjk radical hand"
"u/2e99","⺙","cjk radical rap"
"u/2e9b","⺛","cjk radical choke"
"u/2e9c","⺜","cjk radical sun"
"u/2e9d","⺝","cjk radical moon"
"u/2e9e","⺞","cjk radical death"
"u/2e9f","⺟","cjk radical mother"
"u/2ea0","⺠","cjk radical civilian"
"u/2ea1","⺡","cjk radical water one"
"u/2ea2","⺢","cjk radical water two"
"u/2ea3","⺣","cjk radical fire"
"u/2ea4","⺤","cjk radical paw one"
"u/2ea5","⺥","cjk radical paw two"
"u/2ea6","⺦","cjk radical simplified half tree trunk"
"u/2ea7","⺧","cjk radical cow"
"u/2ea8","⺨","cjk radical dog"
"u/2ea9","⺩","cjk radical jade"
"u/2eaa","⺪","cjk radical bolt of cloth"
"u/2eab","⺫","cjk radical eye"
"u/2eac","⺬","cjk radical spirit one"
"u/2ead","⺭","cjk radical spirit two"
"u/2eae","⺮","cjk radical bamboo"
"u/2eaf","⺯","cjk radical silk"
"u/2eb0","⺰","cjk radical c-simplified silk"
"u/2eb1","⺱","cjk radical net one"
"u/2eb2","⺲","cjk radical net two"
"u/2eb3","⺳","cjk radical net three"
"u/2eb4","⺴","cjk radical net four"
"u/2eb5","⺵","cjk radical mesh"
"u/2eb6","⺶","cjk radical sheep"
"u/2eb7","⺷","cjk radical ram"
"u/2eb8","⺸","cjk radical ewe"
"u/2eb9","⺹","cjk radical old"
"u/2eba","⺺","cjk radical brush one"
"u/2ebb","⺻","cjk radical brush two"
"u/2ebc","⺼","cjk radical meat"
"u/2ebd","⺽","cjk radical mortar"
"u/2ebe","⺾","cjk radical grass one"
"u/2ebf","⺿","cjk radical grass two"
"u/2ec0","⻀","cjk radical grass three"
"u/2ec1","⻁","cjk radical tiger"
"u/2ec2","⻂","cjk radical clothes"
"u/2ec3","⻃","cjk radical west one"
"u/2ec4","⻄","cjk radical west two"
"u/2ec5","⻅","cjk radical c-simplified see"
"u/2ec6","⻆","cjk radical simplified horn"
"u/2ec7","⻇","cjk radical horn"
"u/2ec8","⻈","cjk radical c-simplified speech"
"u/2ec9","⻉","cjk radical c-simplified shell"
"u/2eca","⻊","cjk radical foot"
"u/2ecb","⻋","cjk radical c-simplified cart"
"u/2ecc","⻌","cjk radical simplified walk"
"u/2ecd","⻍","cjk radical walk one"
"u/2ece","⻎","cjk radical walk two"
"u/2ecf","⻏","cjk radical city"
"u/2ed0","⻐","cjk radical c-simplified gold"
"u/2ed1","⻑","cjk radical long one"
"u/2ed2","⻒","cjk radical long two"
"u/2ed3","⻓","cjk radical c-simplified long"
"u/2ed4","⻔","cjk radical c-simplified gate"
"u/2ed5","⻕","cjk radical mound one"
"u/2ed6","⻖","cjk radical mound two"
"u/2ed7","⻗","cjk radical rain"
"u/2ed8","⻘","cjk radical blue"
"u/2ed9","⻙","cjk radical c-simplified tanned leather"
"u/2eda","⻚","cjk radical c-simplified leaf"
"u/2edb","⻛","cjk radical c-simplified wind"
"u/2edc","⻜","cjk radical c-simplified fly"
"u/2edd","⻝","cjk radical eat one"
"u/2ede","⻞","cjk radical eat two"
"u/2edf","⻟","cjk radical eat three"
"u/2ee0","⻠","cjk radical c-simplified eat"
"u/2ee1","⻡","cjk radical head"
"u/2ee2","⻢","cjk radical c-simplified horse"
"u/2ee3","⻣","cjk radical bone"
"u/2ee4","⻤","cjk radical ghost"
"u/2ee5","⻥","cjk radical c-simplified fish"
"u/2ee6","⻦","cjk radical c-simplified bird"
"u/2ee7","⻧","cjk radical c-simplified salt"
"u/2ee8","⻨","cjk radical simplified wheat"
"u/2ee9","⻩","cjk radical simplified yellow"
"u/2eea","⻪","cjk radical c-simplified frog"
"u/2eeb","⻫","cjk radical j-simplified even"
"u/2eec","⻬","cjk radical c-simplified even"
"u/2eed","⻭","cjk radical j-simplified tooth"
"u/2eee","⻮","cjk radical c-simplified tooth"
"u/2eef","⻯","cjk radical j-simplified dragon"
"u/2ef0","⻰","cjk radical c-simplified dragon"
"u/2ef1","⻱","cjk radical turtle"
"u/2ef2","⻲","cjk radical j-simplified turtle"
"u/2ef3","⻳","cjk radical c-simplified turtle"
"u/2f00","⼀","kangxi radical one"
"u/2f01","⼁","kangxi radical line"
"u/2f02","⼂","kangxi radical dot"
"u/2f03","⼃","kangxi radical slash"
"u/2f04","⼄","kangxi radical second"
"u/2f05","⼅","kangxi radical hook"
"u/2f06","⼆","kangxi radical two"
"u/2f07","⼇","kangxi radical lid"
"u/2f08","⼈","kangxi radical man"
"u/2f09","⼉","kangxi radical legs"
"u/2f0a","⼊","kangxi radical enter"
"u/2f0b","⼋","kangxi radical eight"
"u/2f0c","⼌","kangxi radical down box"
"u/2f0d","⼍","kangxi radical cover"
"u/2f0e","⼎","kangxi radical ice"
"u/2f0f","⼏","kangxi radical table"
"u/2f10","⼐","kangxi radical open box"
"u/2f11","⼑","kangxi radical knife"
"u/2f12","⼒","kangxi radical power"
"u/2f13","⼓","kangxi radical wrap"
"u/2f14","⼔","kangxi radical spoon"
"u/2f15","⼕","kangxi radical right open box"
"u/2f16","⼖","kangxi radical hiding enclosure"
"u/2f17","⼗","kangxi radical ten"
"u/2f18","⼘","kangxi radical divination"
"u/2f19","⼙","kangxi radical seal"
"u/2f1a","⼚","kangxi radical cliff"
"u/2f1b","⼛","kangxi radical private"
"u/2f1c","⼜","kangxi radical again"
"u/2f1d","⼝","kangxi radical mouth"
"u/2f1e","⼞","kangxi radical enclosure"
"u/2f1f","⼟","kangxi radical earth"
"u/2f20","⼠","kangxi radical scholar"
"u/2f21","⼡","kangxi radical go"
"u/2f22","⼢","kangxi radical go slowly"
"u/2f23","⼣","kangxi radical evening"
"u/2f24","⼤","kangxi radical big"
"u/2f25","⼥","kangxi radical woman"
"u/2f26","⼦","kangxi radical child"
"u/2f27","⼧","kangxi radical roof"
"u/2f28","⼨","kangxi radical inch"
"u/2f29","⼩","kangxi radical small"
"u/2f2a","⼪","kangxi radical lame"
"u/2f2b","⼫","kangxi radical corpse"
"u/2f2c","⼬","kangxi radical sprout"
"u/2f2d","⼭","kangxi radical mountain"
"u/2f2e","⼮","kangxi radical river"
"u/2f2f","⼯","kangxi radical work"
"u/2f30","⼰","kangxi radical oneself"
"u/2f31","⼱","kangxi radical turban"
"u/2f32","⼲","kangxi radical dry"
"u/2f33","⼳","kangxi radical short thread"
"u/2f34","⼴","kangxi radical dotted cliff"
"u/2f35","⼵","kangxi radical long stride"
"u/2f36","⼶","kangxi radical two hands"
"u/2f37","⼷","kangxi radical shoot"
"u/2f38","⼸","kangxi radical bow"
"u/2f39","⼹","kangxi radical snout"
"u/2f3a","⼺","kangxi radical bristle"
"u/2f3b","⼻","kangxi radical step"
"u/2f3c","⼼","kangxi radical heart"
"u/2f3d","⼽","kangxi radical halberd"
"u/2f3e","⼾","kangxi radical door"
"u/2f3f","⼿","kangxi radical hand"
"u/2f40","⽀","kangxi radical branch"
"u/2f41","⽁","kangxi radical rap"
"u/2f42","⽂","kangxi radical script"
"u/2f43","⽃","kangxi radical dipper"
"u/2f44","⽄","kangxi radical axe"
"u/2f45","⽅","kangxi radical square"
"u/2f46","⽆","kangxi radical not"
"u/2f47","⽇","kangxi radical sun"
"u/2f48","⽈","kangxi radical say"
"u/2f49","⽉","kangxi radical moon"
"u/2f4a","⽊","kangxi radical tree"
"u/2f4b","⽋","kangxi radical lack"
"u/2f4c","⽌","kangxi radical stop"
"u/2f4d","⽍","kangxi radical death"
"u/2f4e","⽎","kangxi radical weapon"
"u/2f4f","⽏","kangxi radical do not"
"u/2f50","⽐","kangxi radical compare"
"u/2f51","⽑","kangxi radical fur"
"u/2f52","⽒","kangxi radical clan"
"u/2f53","⽓","kangxi radical steam"
"u/2f54","⽔","kangxi radical water"
"u/2f55","⽕","kangxi radical fire"
"u/2f56","⽖","kangxi radical claw"
"u/2f57","⽗","kangxi radical father"
"u/2f58","⽘","kangxi radical double x"
"u/2f59","⽙","kangxi radical half tree trunk"
"u/2f5a","⽚","kangxi radical slice"
"u/2f5b","⽛","kangxi radical fang"
"u/2f5c","⽜","kangxi radical cow"
"u/2f5d","⽝","kangxi radical dog"
"u/2f5e","⽞","kangxi radical profound"
"u/2f5f","⽟","kangxi radical jade"
"u/2f60","⽠","kangxi radical melon"
"u/2f61","⽡","kangxi radical tile"
"u/2f62","⽢","kangxi radical sweet"
"u/2f63","⽣","kangxi radical life"
"u/2f64","⽤","kangxi radical use"
"u/2f65","⽥","kangxi radical field"
"u/2f66","⽦","kangxi radical bolt of cloth"
"u/2f67","⽧","kangxi radical sickness"
"u/2f68","⽨","kangxi radical dotted tent"
"u/2f69","⽩","kangxi radical white"
"u/2f6a","⽪","kangxi radical skin"
"u/2f6b","⽫","kangxi radical dish"
"u/2f6c","⽬","kangxi radical eye"
"u/2f6d","⽭","kangxi radical spear"
"u/2f6e","⽮","kangxi radical arrow"
"u/2f6f","⽯","kangxi radical stone"
"u/2f70","⽰","kangxi radical spirit"
"u/2f71","⽱","kangxi radical track"
"u/2f72","⽲","kangxi radical grain"
"u/2f73","⽳","kangxi radical cave"
"u/2f74","⽴","kangxi radical stand"
"u/2f75","⽵","kangxi radical bamboo"
"u/2f76","⽶","kangxi radical rice"
"u/2f77","⽷","kangxi radical silk"
"u/2f78","⽸","kangxi radical jar"
"u/2f79","⽹","kangxi radical net"
"u/2f7a","⽺","kangxi radical sheep"
"u/2f7b","⽻","kangxi radical feather"
"u/2f7c","⽼","kangxi radical old"
"u/2f7d","⽽","kangxi radical and"
"u/2f7e","⽾","kangxi radical plow"
"u/2f7f","⽿","kangxi radical ear"
"u/2f80","⾀","kangxi radical brush"
"u/2f81","⾁","kangxi radical meat"
"u/2f82","⾂","kangxi radical minister"
"u/2f83","⾃","kangxi radical self"
"u/2f84","⾄","kangxi radical arrive"
"u/2f85","⾅","kangxi radical mortar"
"u/2f86","⾆","kangxi radical tongue"
"u/2f87","⾇","kangxi radical oppose"
"u/2f88","⾈","kangxi radical boat"
"u/2f89","⾉","kangxi radical stopping"
"u/2f8a","⾊","kangxi radical color"
"u/2f8b","⾋","kangxi radical grass"
"u/2f8c","⾌","kangxi radical tiger"
"u/2f8d","⾍","kangxi radical insect"
"u/2f8e","⾎","kangxi radical blood"
"u/2f8f","⾏","kangxi radical walk enclosure"
"u/2f90","⾐","kangxi radical clothes"
"u/2f91","⾑","kangxi radical west"
"u/2f92","⾒","kangxi radical see"
"u/2f93","⾓","kangxi radical horn"
"u/2f94","⾔","kangxi radical speech"
"u/2f95","⾕","kangxi radical valley"
"u/2f96","⾖","kangxi radical bean"
"u/2f97","⾗","kangxi radical pig"
"u/2f98","⾘","kangxi radical badger"
"u/2f99","⾙","kangxi radical shell"
"u/2f9a","⾚","kangxi radical red"
"u/2f9b","⾛","kangxi radical run"
"u/2f9c","⾜","kangxi radical foot"
"u/2f9d","⾝","kangxi radical body"
"u/2f9e","⾞","kangxi radical cart"
"u/2f9f","⾟","kangxi radical bitter"
"u/2fa0","⾠","kangxi radical morning"
"u/2fa1","⾡","kangxi radical walk"
"u/2fa2","⾢","kangxi radical city"
"u/2fa3","⾣","kangxi radical wine"
"u/2fa4","⾤","kangxi radical distinguish"
"u/2fa5","⾥","kangxi radical village"
"u/2fa6","⾦","kangxi radical gold"
"u/2fa7","⾧","kangxi radical long"
"u/2fa8","⾨","kangxi radical gate"
"u/2fa9","⾩","kangxi radical mound"
"u/2faa","⾪","kangxi radical slave"
"u/2fab","⾫","kangxi radical short tailed bird"
"u/2fac","⾬","kangxi radical rain"
"u/2fad","⾭","kangxi radical blue"
"u/2fae","⾮","kangxi radical wrong"
"u/2faf","⾯","kangxi radical face"
"u/2fb0","⾰","kangxi radical leather"
"u/2fb1","⾱","kangxi radical tanned leather"
"u/2fb2","⾲","kangxi radical leek"
"u/2fb3","⾳","kangxi radical sound"
"u/2fb4","⾴","kangxi radical leaf"
"u/2fb5","⾵","kangxi radical wind"
"u/2fb6","⾶","kangxi radical fly"
"u/2fb7","⾷","kangxi radical eat"
"u/2fb8","⾸","kangxi radical head"
"u/2fb9","⾹","kangxi radical fragrant"
"u/2fba","⾺","kangxi radical horse"
"u/2fbb","⾻","kangxi radical bone"
"u/2fbc","⾼","kangxi radical tall"
"u/2fbd","⾽","kangxi radical hair"
"u/2fbe","⾾","kangxi radical fight"
"u/2fbf","⾿","kangxi radical sacrificial wine"
"u/2fc0","⿀","kangxi radical cauldron"
"u/2fc1","⿁","kangxi radical ghost"
"u/2fc2","⿂","kangxi radical fish"
"u/2fc3","⿃","kangxi radical bird"
"u/2fc4","⿄","kangxi radical salt"
"u/2fc5","⿅","kangxi radical deer"
"u/2fc6","⿆","kangxi radical wheat"
"u/2fc7","⿇","kangxi radical hemp"
"u/2fc8","⿈","kangxi radical yellow"
"u/2fc9","⿉","kangxi radical millet"
"u/2fca","⿊","kangxi radical black"
"u/2fcb","⿋","kangxi radical embroidery"
"u/2fcc","⿌","kangxi radical frog"
"u/2fcd","⿍","kangxi radical tripod"
"u/2fce","⿎","kangxi radical drum"
"u/2fcf","⿏","kangxi radical rat"
"u/2fd0","⿐","kangxi radical nose"
"u/2fd1","⿑","kangxi radical even"
"u/2fd2","⿒","kangxi radical tooth"
"u/2fd3","⿓","kangxi radical dragon"
"u/2fd4","⿔","kangxi radical turtle"
"u/2fd5","⿕","kangxi radical flute"
"u/2ff0","⿰","ideographic description character left to right"
"u/2ff1","⿱","ideographic description character above to below"
"u/2ff2","⿲","ideographic description character left to middle and right"
"u/2ff3","⿳","ideographic description character above to middle and below"
"u/2ff4","⿴","ideographic description character full surround"
"u/2ff5","⿵","ideographic description character surround from above"
"u/2ff6","⿶","ideographic description character surround from below"
"u/2ff7","⿷","ideographic description character surround from left"
"u/2ff8","⿸","ideographic description character surround from upper left"
"u/2ff9","⿹","ideographic description character surround from upper right"
"u/2ffa","⿺","ideographic description character surround from lower left"
"u/2ffb","⿻","ideographic description character overlaid"
"u/3001","、","ideographic comma"
"u/3002","。","ideographic full stop"
"u/3003","〃","ditto mark"
"u/3004","〄","japanese industrial standard symbol"
"u/3005","々","ideographic iteration mark"
"u/3006","〆","ideographic closing mark"
"u/3007","〇","ideographic number zero"
"u/3008","〈","left angle bracket"
"u/3009","〉","right angle bracket"
"u/300a","《","left double angle bracket"
"u/300b","》","right double angle bracket"
"u/300c","「","left corner bracket"
"u/300d","」","right corner bracket"
"u/300e","『","left white corner bracket"
"u/300f","』","right white corner bracket"
"u/3010","【","left black lenticular bracket"
"u/3011","】","right black lenticular bracket"
"u/3012","〒","postal mark"
"u/3013","〓","geta mark"
"u/3014","〔","left tortoise shell bracket"
"u/3015","〕","right tortoise shell bracket"
"u/3016","〖","left white lenticular bracket"
"u/3017","〗","right white lenticular bracket"
"u/3018","〘","left white tortoise shell bracket"
"u/3019","〙","right white tortoise shell bracket"
"u/301a","〚","left white square bracket"
"u/301b","〛","right white square bracket"
"u/301c","〜","wave dash"
"u/301d","〝","reversed double prime quotation mark"
"u/301e","〞","double prime quotation mark"
"u/301f","〟","low double prime quotation mark"
"u/3020","〠","postal mark face"
"u/3021","〡","hangzhou numeral one"
"u/3022","〢","hangzhou numeral two"
"u/3023","〣","hangzhou numeral three"
"u/3024","〤","hangzhou numeral four"
"u/3025","〥","hangzhou numeral five"
"u/3026","〦","hangzhou numeral six"
"u/3027","〧","hangzhou numeral seven"
"u/3028","〨","hangzhou numeral eight"
"u/3029","〩","hangzhou numeral nine"
"u/302a","〪","ideographic level tone mark"
"u/302b","〫","ideographic rising tone mark"
"u/302c","〬","ideographic departing tone mark"
"u/302d","〭","ideographic entering tone mark"
"u/302e","〮","hangul single dot tone mark"
"u/302f","〯","hangul double dot tone mark"
"u/3030","〰","wavy dash"
"u/3031","〱","vertical kana repeat mark"
"u/3032","〲","vertical kana repeat with voiced sound mark"
"u/3033","〳","vertical kana repeat mark upper half"
"u/3034","〴","vertical kana repeat with voiced sound mark upper half"
"u/3035","〵","vertical kana repeat mark lower half"
"u/3036","〶","circled postal mark"
"u/3037","〷","ideographic telegraph line feed separator symbol"
"u/3038","〸","hangzhou numeral ten"
"u/3039","〹","hangzhou numeral twenty"
"u/303a","〺","hangzhou numeral thirty"
"u/303b","〻","vertical ideographic iteration mark"
"u/303c","〼","masu mark"
"u/303d","〽","part alternation mark"
"u/303e","〾","ideographic variation indicator"
"u/303f","〿","ideographic half fill space"
"u/3041","ぁ","hiragana letter small a"
"u/3042","あ","hiragana letter a"
"u/3043","ぃ","hiragana letter small i"
"u/3044","い","hiragana letter i"
"u/3045","ぅ","hiragana letter small u"
"u/3046","う","hiragana letter u"
"u/3047","ぇ","hiragana letter small e"
"u/3048","え","hiragana letter e"
"u/3049","ぉ","hiragana letter small o"
"u/304a","お","hiragana letter o"
"u/304b","か","hiragana letter ka"
"u/304c","が","hiragana letter ga"
"u/304d","き","hiragana letter ki"
"u/304e","ぎ","hiragana letter gi"
"u/304f","く","hiragana letter ku"
"u/3050","ぐ","hiragana letter gu"
"u/3051","け","hiragana letter ke"
"u/3052","げ","hiragana letter ge"
"u/3053","こ","hiragana letter ko"
"u/3054","ご","hiragana letter go"
"u/3055","さ","hiragana letter sa"
"u/3056","ざ","hiragana letter za"
"u/3057","し","hiragana letter si"
"u/3058","じ","hiragana letter zi"
"u/3059","す","hiragana letter su"
"u/305a","ず","hiragana letter zu"
"u/305b","せ","hiragana letter se"
"u/305c","ぜ","hiragana letter ze"
"u/305d","そ","hiragana letter so"
"u/305e","ぞ","hiragana letter zo"
"u/305f","た","hiragana letter ta"
"u/3060","だ","hiragana letter da"
"u/3061","ち","hiragana letter ti"
"u/3062","ぢ","hiragana letter di"
"u/3063","っ","hiragana letter small tu"
"u/3064","つ","hiragana letter tu"
"u/3065","づ","hiragana letter du"
"u/3066","て","hiragana letter te"
"u/3067","で","hiragana letter de"
"u/3068","と","hiragana letter to"
"u/3069","ど","hiragana letter do"
"u/306a","な","hiragana letter na"
"u/306b","に","hiragana letter ni"
"u/306c","ぬ","hiragana letter nu"
"u/306d","ね","hiragana letter ne"
"u/306e","の","hiragana letter no"
"u/306f","は","hiragana letter ha"
"u/3070","ば","hiragana letter ba"
"u/3071","ぱ","hiragana letter pa"
"u/3072","ひ","hiragana letter hi"
"u/3073","び","hiragana letter bi"
"u/3074","ぴ","hiragana letter pi"
"u/3075","ふ","hiragana letter hu"
"u/3076","ぶ","hiragana letter bu"
"u/3077","ぷ","hiragana letter pu"
"u/3078","へ","hiragana letter he"
"u/3079","べ","hiragana letter be"
"u/307a","ぺ","hiragana letter pe"
"u/307b","ほ","hiragana letter ho"
"u/307c","ぼ","hiragana letter bo"
"u/307d","ぽ","hiragana letter po"
"u/307e","ま","hiragana letter ma"
"u/307f","み","hiragana letter mi"
"u/3080","む","hiragana letter mu"
"u/3081","め","hiragana letter me"
"u/3082","も","hiragana letter mo"
"u/3083","ゃ","hiragana letter small ya"
"u/3084","や","hiragana letter ya"
"u/3085","ゅ","hiragana letter small yu"
"u/3086","ゆ","hiragana letter yu"
"u/3087","ょ","hiragana letter small yo"
"u/3088","よ","hiragana letter yo"
"u/3089","ら","hiragana letter ra"
"u/308a","り","hiragana letter ri"
"u/308b","る","hiragana letter ru"
"u/308c","れ","hiragana letter re"
"u/308d","ろ","hiragana letter ro"
"u/308e","ゎ","hiragana letter small wa"
"u/308f","わ","hiragana letter wa"
"u/3090","ゐ","hiragana letter wi"
"u/3091","ゑ","hiragana letter we"
"u/3092","を","hiragana letter wo"
"u/3093","ん","hiragana letter n"
"u/3094","ゔ","hiragana letter vu"
"u/3095","ゕ","hiragana letter small ka"
"u/3096","ゖ","hiragana letter small ke"
"u/3099","゙","combining katakana-hiragana voiced sound mark"
"u/309a","゚","combining katakana-hiragana semi-voiced sound mark"
"u/309b","゛","katakana-hiragana voiced sound mark"
"u/309c","゜","katakana-hiragana semi-voiced sound mark"
"u/309d","ゝ","hiragana iteration mark"
"u/309e","ゞ","hiragana voiced iteration mark"
"u/309f","ゟ","hiragana digraph yori"
"u/30a0","゠","katakana-hiragana double hyphen"
"u/30a1","ァ","katakana letter small a"
"u/30a2","ア","katakana letter a"
"u/30a3","ィ","katakana letter small i"
"u/30a4","イ","katakana letter i"
"u/30a5","ゥ","katakana letter small u"
"u/30a6","ウ","katakana letter u"
"u/30a7","ェ","katakana letter small e"
"u/30a8","エ","katakana letter e"
"u/30a9","ォ","katakana letter small o"
"u/30aa","オ","katakana letter o"
"u/30ab","カ","katakana letter ka"
"u/30ac","ガ","katakana letter ga"
"u/30ad","キ","katakana letter ki"
"u/30ae","ギ","katakana letter gi"
"u/30af","ク","katakana letter ku"
"u/30b0","グ","katakana letter gu"
